segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s022.265,640,360,10.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00019576,0.01155,0.01155,0.0
AncientThought_s022.265,960,540,13.2,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00024207,0.014282,0.014282,0.0
AncientThought_s022.265,1280,720,16.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00030991,0.018284,0.018284,0.0
AncientThought_s022.265,1920,1080,23.7,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00046097,0.027197,0.027197,0.0
AncientThought_s022.265,2560,1440,33.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00066102,0.039,0.039,0.0
AncientThought_s022.265,3840,2160,67.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00133072,0.078513,0.078513,0.0
AncientThought_s023.265,640,360,10.1,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00018281,0.010786,0.010786,0.0
AncientThought_s023.265,960,540,12.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00022381,0.013205,0.013205,0.0
AncientThought_s023.265,1280,720,15.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00028753,0.016964,0.016964,0.0
AncientThought_s023.265,1920,1080,22.5,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00043676,0.025769,0.025769,0.0
AncientThought_s023.265,2560,1440,33.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00064286,0.037929,0.037929,0.0
AncientThought_s023.265,3840,2160,64.3,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00126486,0.074627,0.074627,0.0
AncientThought_s024.265,640,360,9.0,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00015957,0.009415,0.009415,0.0
AncientThought_s024.265,960,540,10.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00019307,0.011391,0.011391,0.0
AncientThought_s024.265,1280,720,13.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00025061,0.014786,0.014786,0.0
AncientThought_s024.265,1920,1080,19.6,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00037566,0.022164,0.022164,0.0
AncientThought_s024.265,2560,1440,28.4,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00055063,0.032487,0.032487,0.0
AncientThought_s024.265,3840,2160,55.8,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00108866,0.064231,0.064231,0.0
AncientThought_s025.265,640,360,9.5,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00017048,0.010058,0.010058,0.0
AncientThought_s025.265,960,540,11.9,LOCAL_NOW,us-west-1,2026-05-13 20:00:00+00:00,45.0,44.0,59.0,59.0,0.00021309,0.012572,0.012572,0.0
